p,beta,classical_value,quantum_value,gap,classical_oracle_value,classical_oracle_abs_error,deterministic_strategy_count
0.66,0.02,0.875424,0.8820416466512518,0.006617646651251863,0.875424,0.0,16
0.67,0.02,0.882256,0.886616165642359,0.004360165642358971,0.882256,0.0,16
0.68,0.02,0.888896,0.8914679282086848,0.0025719282086847928,0.8888960000000001,1.1102230246251565e-16,16
0.69,0.02,0.8953439999999999,0.8965969343502291,0.0012529343502292178,0.8953439999999999,0.0,16
0.7,0.02,0.9016,0.9020031840669922,0.00040318406699224596,0.9016,0.0,16
0.71,0.02,0.907664,0.9076866773589738,2.2677358973766104e-05,0.907664,0.0,16
0.72,0.02,0.9135359999999999,0.913536,1.1102230246251565e-16,0.9135359999999999,0.0,16
0.73,0.02,0.919216,0.919216,0.0,0.9192159999999999,1.1102230246251565e-16,16
0.74,0.02,0.924704,0.924704,0.0,0.924704,0.0,16
0.75,0.02,0.9299999999999999,0.93,1.1102230246251565e-16,0.9299999999999999,0.0,16
0.76,0.02,0.9351039999999999,0.935104,1.1102230246251565e-16,0.9351039999999999,0.0,16
0.77,0.02,0.940016,0.940016,0.0,0.940016,0.0,16
0.78,0.02,0.944736,0.944736,0.0,0.944736,0.0,16
0.79,0.02,0.9492640000000001,0.9492640000000001,0.0,0.9492640000000001,0.0,16
0.8,0.02,0.9536,0.9536,0.0,0.9536,0.0,16
0.81,0.02,0.957744,0.957744,0.0,0.957744,0.0,16
0.82,0.02,0.9616959999999999,0.961696,1.1102230246251565e-16,0.9616959999999999,0.0,16
0.83,0.02,0.965456,0.965456,0.0,0.9654560000000001,1.1102230246251565e-16,16
0.84,0.02,0.969024,0.969024,0.0,0.9690239999999999,1.1102230246251565e-16,16
0.85,0.02,0.9723999999999999,0.9723999999999999,0.0,0.9723999999999999,0.0,16
0.86,0.02,0.975584,0.975584,0.0,0.9755839999999999,1.1102230246251565e-16,16
0.87,0.02,0.978576,0.978576,0.0,0.978576,0.0,16
0.88,0.02,0.981376,0.981376,0.0,0.981376,0.0,16
0.89,0.02,0.983984,0.983984,0.0,0.983984,0.0,16
0.9,0.02,0.9863999999999999,0.9864,1.1102230246251565e-16,0.9864,1.1102230246251565e-16,16
0.91,0.02,0.988624,0.9886240000000001,1.1102230246251565e-16,0.988624,0.0,16
0.92,0.02,0.990656,0.990656,0.0,0.990656,0.0,16
0.93,0.02,0.992496,0.992496,0.0,0.992496,0.0,16
0.94,0.02,0.994144,0.994144,0.0,0.994144,0.0,16
0.95,0.02,0.9956,0.9956,0.0,0.9956,0.0,16
0.96,0.02,0.996864,0.996864,0.0,0.9968640000000001,1.1102230246251565e-16,16
0.97,0.02,0.9979359999999999,0.997936,1.1102230246251565e-16,0.997936,1.1102230246251565e-16,16
0.98,0.02,0.9988159999999999,0.9988159999999999,0.0,0.9988159999999999,0.0,16
0.99,0.02,0.999504,0.999504,0.0,0.999504,0.0,16
1.0,0.02,1.0,1.0,0.0,1.0,0.0,16
0.0,0.03,1.0,1.0,0.0,1.0,0.0,16
0.01,0.03,0.999306,0.999306,0.0,0.999306,0.0,16
0.02,0.03,0.998424,0.998424,0.0,0.998424,0.0,16
0.03,0.03,0.997354,0.997354,0.0,0.997354,0.0,16
0.04,0.03,0.996096,0.996096,0.0,0.9960959999999999,1.1102230246251565e-16,16
0.05,0.03,0.99465,0.99465,0.0,0.9946499999999999,1.1102230246251565e-16,16
0.06,0.03,0.9930159999999999,0.9930159999999999,0.0,0.9930159999999999,0.0,16
0.07,0.03,0.9911939999999999,0.9911939999999999,0.0,0.9911939999999999,0.0,16
0.08,0.03,0.9891840000000001,0.9891840000000001,0.0,0.9891840000000001,0.0,16
0.09,0.03,0.986986,0.986986,0.0,0.9869860000000001,1.1102230246251565e-16,16
0.1,0.03,0.9846,0.9846,0.0,0.9846000000000001,1.1102230246251565e-16,16
0.11,0.03,0.9820260000000001,0.9820260000000001,0.0,0.9820260000000001,0.0,16
