epsilon,alpha,t_env_seconds,classical_bias,quantum_bias,classical_win_probability,noisy_quantum_win_probability,noisy_gap,epsilon_threshold,required_trials,expected_quantum_wins,certification_p_value,previous_round_p_value,required_rate_hz,required_rate_khz,reference_hardware_rate_hz,reference_hardware_rate_pass
0.019,0.05,0.1,0.5,0.7071067811865475,0.75,0.8468358761720015,0.09683587617200151,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,450.0,0.45,7900.0,True
0.019,0.05,10.0,0.5,0.7071067811865475,0.75,0.8468358761720015,0.09683587617200151,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,4.5,0.0045,7900.0,True
0.02,0.05,0.001,0.5,0.7071067811865475,0.75,0.8464823227814082,0.09648232278140823,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,45000.0,45.0,7900.0,False
0.02,0.05,0.1,0.5,0.7071067811865475,0.75,0.8464823227814082,0.09648232278140823,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,450.0,0.45,7900.0,True
0.02,0.05,10.0,0.5,0.7071067811865475,0.75,0.8464823227814082,0.09648232278140823,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,4.5,0.0045,7900.0,True
0.021,0.05,0.001,0.5,0.7071067811865475,0.75,0.846128769390815,0.096128769390815,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,45000.0,45.0,7900.0,False
0.021,0.05,0.1,0.5,0.7071067811865475,0.75,0.846128769390815,0.096128769390815,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,450.0,0.45,7900.0,True
0.021,0.05,10.0,0.5,0.7071067811865475,0.75,0.846128769390815,0.096128769390815,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,4.5,0.0045,7900.0,True
0.022,0.05,0.001,0.5,0.7071067811865475,0.75,0.8457752160002217,0.09577521600022171,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,45000.0,45.0,7900.0,False
0.022,0.05,0.1,0.5,0.7071067811865475,0.75,0.8457752160002217,0.09577521600022171,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,450.0,0.45,7900.0,True
0.022,0.05,10.0,0.5,0.7071067811865475,0.75,0.8457752160002217,0.09577521600022171,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,4.5,0.0045,7900.0,True
0.023,0.05,0.001,0.5,0.7071067811865475,0.75,0.8454216626096285,0.09542166260962842,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,45000.0,45.0,7900.0,False
0.023,0.05,0.1,0.5,0.7071067811865475,0.75,0.8454216626096285,0.09542166260962842,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,450.0,0.45,7900.0,True
0.023,0.05,10.0,0.5,0.7071067811865475,0.75,0.8454216626096285,0.09542166260962842,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,4.5,0.0045,7900.0,True
0.024,0.05,0.001,0.5,0.7071067811865475,0.75,0.8450681092190351,0.09506810921903514,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,45000.0,45.0,7900.0,False
0.024,0.05,0.1,0.5,0.7071067811865475,0.75,0.8450681092190351,0.09506810921903514,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,450.0,0.45,7900.0,True
0.024,0.05,10.0,0.5,0.7071067811865475,0.75,0.8450681092190351,0.09506810921903514,0.2928932188134524,45,39,0.044607358408195685,0.05231026179344172,4.5,0.0045,7900.0,True
